type,registration_no,name,dob,place,sex,father,mother,cause,created_at
death,REG-0724,Randall Bryant,,Jenniferfurt,,,,Disease,2025-11-13T04:44:22.042063
birth,REG-0725,Cindy Smith,1963-03-08,Lake Alexandershire,O,Bruce Solis,Teresa Reeves,,2025-11-13T04:44:22.042372
death,REG-0726,Joel Schneider Jr.,,Sarahfurt,,,,Accident,2025-11-13T04:44:22.043287
death,REG-0727,Patricia Watkins,,North Sheila,,,,Natural,2025-11-13T04:44:22.043778
death,REG-0728,Joshua Jimenez,,Port Christopherstad,,,,Accident,2025-11-13T04:44:22.044133
birth,REG-0729,Hunter Stanley,1985-04-01,Port Annastad,M,Corey Brown,Nancy Franklin,,2025-11-13T04:44:22.044558
birth,REG-0730,Nicholas Hurley,1950-10-22,Nancyside,O,Jacob Baxter,Julie Cherry,,2025-11-13T04:44:22.045336
birth,REG-0731,Isaac Mcdonald,1958-05-20,Brentton,F,James Ward,Rhonda Hall,,2025-11-13T04:44:22.046096
death,REG-0732,Sara Mclean,,North James,,,,Accident,2025-11-13T04:44:22.046825
death,REG-0733,Brian Palmer,,West Philipbury,,,,Accident,2025-11-13T04:44:22.047176
death,REG-0734,Dr. Jonathan Robinson MD,,New Austinbury,,,,Unknown,2025-11-13T04:44:22.047503
birth,REG-0735,Cynthia Matthews,1948-04-10,Port Stephanie,F,Mario Hatfield,Gabrielle Wilson,,2025-11-13T04:44:22.047868
death,REG-0736,Gregory Cohen,,Westshire,,,,Unknown,2025-11-13T04:44:22.048818
birth,REG-0737,Michael Ross,2001-07-14,Smithtown,M,Joseph Allen,Sabrina Blankenship,,2025-11-13T04:44:22.049200
birth,REG-0738,Christine Rasmussen,1948-08-04,Jamesberg,F,Martin Glenn,Alison Thornton,,2025-11-13T04:44:22.049961
birth,REG-0739,Albert Figueroa,1987-03-09,Millerburgh,F,David Humphrey,Ana Coleman,,2025-11-13T04:44:22.050752
birth,REG-0740,Alice Li,2009-10-03,Robinsonside,O,Matthew Olson,Jessica Brown,,2025-11-13T04:44:22.051531
death,REG-0741,Linda Woods,,Port Sherry,,,,Disease,2025-11-13T04:44:22.052293
birth,REG-0742,Justin Vargas,1976-10-26,New Janicefort,O,Jose Smith,Nancy Aguilar,,2025-11-13T04:44:22.052706
death,REG-0743,Destiny Porter,,South William,,,,Accident,2025-11-13T04:44:22.053439
death,REG-0744,Nathaniel Lane,,Port Donaldhaven,,,,Accident,2025-11-13T04:44:22.053786
death,REG-0745,Philip Martin,,Donaldmouth,,,,Disease,2025-11-13T04:44:22.054085
birth,REG-0746,Michael Davis,1968-01-13,North Patricia,M,Craig Nguyen,Ashley Riley,,2025-11-13T04:44:22.054406
birth,REG-0747,Roy Fisher,2023-09-15,East Tanyaville,F,David Moses,Sarah Ballard,,2025-11-13T04:44:22.055237
death,REG-0748,James Johnson,,North Carrie,,,,Unknown,2025-11-13T04:44:22.056034
birth,REG-0749,Jason Martinez,1998-02-07,Reginaldborough,F,Joseph Garcia,Mary Moore,,2025-11-13T04:44:22.056343
death,REG-0750,Jonathan Gomez,,Virginiaport,,,,Accident,2025-11-13T04:44:22.057069
death,REG-0751,Tracy Gray,,Clarkton,,,,Accident,2025-11-13T04:44:22.057422
death,REG-0752,Joshua Bush,,Jacobsonmouth,,,,Natural,2025-11-13T04:44:22.057768
birth,REG-0753,Joshua Wallace,1995-11-19,Freyville,F,Wesley Collins,Sandra Morales,,2025-11-13T04:44:22.058120
birth,REG-0754,Stephen Davis,1995-01-18,Chelseafurt,M,Jordan Snow,Michelle Lambert,,2025-11-13T04:44:22.058834
birth,REG-0755,Kristin Morales,1967-10-25,New Edwardtown,O,Patrick King,Tara Le,,2025-11-13T04:44:22.060356
birth,REG-0756,Gerald Johnson,1969-01-25,Marthaport,M,Peter Ashley,Sara Hubbard,,2025-11-13T04:44:22.061757
birth,REG-0757,John Brown,2020-12-10,North Jennifermouth,M,Joseph Cook,Destiny Dixon,,2025-11-13T04:44:22.063122
death,REG-0758,Jeremy Nichols,,West Austin,,,,Unknown,2025-11-13T04:44:22.064893
birth,REG-0759,Stephanie Mckay,1962-04-14,Rubenfurt,M,Nicholas Wade,Brittany Randall,,2025-11-13T04:44:22.065556
birth,REG-0760,Shirley Meza,1986-01-16,New Karentown,O,James Terry,Amber Miller,,2025-11-13T04:44:22.066974
death,REG-0761,Jenny Allen,,West Erikville,,,,Natural,2025-11-13T04:44:22.068091
death,REG-0762,Bonnie Waller,,Michelleshire,,,,Unknown,2025-11-13T04:44:22.068502
death,REG-0763,Brenda Brown,,North Sergio,,,,Disease,2025-11-13T04:44:22.068846
birth,REG-0764,Heather Contreras,1950-11-21,New Josephchester,F,Christopher Brock,Christina Snyder,,2025-11-13T04:44:22.069206
birth,REG-0765,Ryan Smith,1988-12-10,West Nancy,O,Juan Cox,Angela Garcia,,2025-11-13T04:44:22.069962
death,REG-0766,Rose Alvarez,,East Brian,,,,Disease,2025-11-13T04:44:22.070727
death,REG-0767,Jessica Guerra,,Lake Andrew,,,,Natural,2025-11-13T04:44:22.071056
death,REG-0768,Gene Mclaughlin,,Hollowaymouth,,,,Accident,2025-11-13T04:44:22.071431
death,REG-0769,Ashley Hernandez,,Robertfort,,,,Natural,2025-11-13T04:44:22.071863
death,REG-0770,Thomas Romero,,Lake Sandrachester,,,,Unknown,2025-11-13T04:44:22.072201
birth,REG-0771,Shannon Miller,1983-01-24,Victoriafort,F,Eric Allen,Tracy Willis,,2025-11-13T04:44:22.072548
death,REG-0772,David Pierce,,Port Christina,,,,Unknown,2025-11-13T04:44:22.073282
death,REG-0773,Bianca Chavez,,West Christopherberg,,,,Accident,2025-11-13T04:44:22.073649
birth,REG-0774,Teresa Baker,1972-06-03,West Rebecca,M,Michael Kim,Terry Hawkins,,2025-11-13T04:44:22.073958
birth,REG-0775,Alyssa Kennedy,2023-12-29,North Robert,M,Daniel Howell,Barbara Molina,,2025-11-13T04:44:22.074730
birth,REG-0776,Hannah Lopez,2013-04-23,Lynchfort,M,Logan Lee,Jennifer Kramer,,2025-11-13T04:44:22.075661
death,REG-0777,Taylor Mercer,,Sherryburgh,,,,Unknown,2025-11-13T04:44:22.076436
death,REG-0778,Amy Lynch,,Port Amy,,,,Disease,2025-11-13T04:44:22.076782
death,REG-0779,Michael Davis,,East Mathewburgh,,,,Accident,2025-11-13T04:44:22.077116
death,REG-0780,Joshua Dixon,,Port John,,,,Accident,2025-11-13T04:44:22.077434
death,REG-0781,Melissa Peterson,,Bakerton,,,,Disease,2025-11-13T04:44:22.077804
death,REG-0782,Nicholas Perry,,Griffinstad,,,,Disease,2025-11-13T04:44:22.078214
death,REG-0783,Taylor Gallagher,,New Brandon,,,,Disease,2025-11-13T04:44:22.078568
death,REG-0784,Richard Hall,,West Lynnstad,,,,Unknown,2025-11-13T04:44:22.078905
death,REG-0785,Jason Lopez,,Antoniostad,,,,Unknown,2025-11-13T04:44:22.079233
birth,REG-0786,Robert Hardin DVM,1995-06-20,Thomasshire,F,David Martin,Kathleen Perez,,2025-11-13T04:44:22.079682
death,REG-0787,David Foley,,Phillipsborough,,,,Disease,2025-11-13T04:44:22.080617
birth,REG-0788,Carmen Hall,1969-12-31,Shafferfurt,F,David Hurley,Vanessa Tanner,,2025-11-13T04:44:22.080970
birth,REG-0789,Nicholas Howard,1988-03-12,Port Jack,O,Bradley Parker,Elizabeth Kelley,,2025-11-13T04:44:22.081773
death,REG-0790,Jessica Gonzalez,,Youngstad,,,,Unknown,2025-11-13T04:44:22.082595
death,REG-0791,Gloria Miller,,North Jeremy,,,,Natural,2025-11-13T04:44:22.082933
death,REG-0792,Jenny Flores,,Stevenside,,,,Disease,2025-11-13T04:44:22.083275
death,REG-0793,Candice Wells,,Philipchester,,,,Unknown,2025-11-13T04:44:22.083639
birth,REG-0794,William Christian,1993-07-23,Cindymouth,F,John Henderson,Tina Thompson,,2025-11-13T04:44:22.083981
death,REG-0795,Jonathan Parsons,,Bakerhaven,,,,Unknown,2025-11-13T04:44:22.084761
birth,REG-0796,Kelly Reed,1982-03-21,Port Barbarabury,O,Tanner Wilson,Shelby Miller,,2025-11-13T04:44:22.085094
death,REG-0797,Sarah Perez DDS,,Barrettland,,,,Disease,2025-11-13T04:44:22.085996
birth,REG-0798,Brandon Brennan,1948-11-25,Garciaton,O,Kevin Pacheco,Kimberly Sweeney,,2025-11-13T04:44:22.086364
death,REG-0799,James Fowler,,Port Brenda,,,,Unknown,2025-11-13T04:44:22.087099
death,REG-0800,William Fleming,,North Jacobside,,,,Unknown,2025-11-13T04:44:22.087437
birth,REG-0801,Leslie Olson,1951-04-18,Richardhaven,F,Benjamin Dennis,Lydia Robbins,,2025-11-13T04:44:22.087807
death,REG-0802,Brittany Lowe,,East Cheryl,,,,Disease,2025-11-13T04:44:22.088560
birth,REG-0803,Steven Bray,1991-01-27,Jeremiahfurt,M,Daniel Zuniga,Cheryl Tapia,,2025-11-13T04:44:22.088902
birth,REG-0804,Ricky Perez,2018-12-26,Ellisburgh,F,Jonathan Peterson,Maria Brown,,2025-11-13T04:44:22.089672
death,REG-0805,Tammy Young,,Milesmouth,,,,Unknown,2025-11-13T04:44:22.090486
birth,REG-0806,Robert Thornton,1987-11-29,South Justinberg,O,Vincent Choi,Kathryn Salazar,,2025-11-13T04:44:22.090803
birth,REG-0807,Benjamin Lane,1957-11-30,West Mary,M,Jordan Green,Rose Calhoun,,2025-11-13T04:44:22.091555
birth,REG-0808,Christopher Maynard,2021-11-19,Port Barbaraside,M,Nicholas Walsh,Shannon Blair,,2025-11-13T04:44:22.092397
death,REG-0809,Jenna Smith,,Michaelstad,,,,Disease,2025-11-13T04:44:22.093281
birth,REG-0810,Mark Berger,2013-09-17,Alejandrashire,M,Duane Ortega,Paula Dunn,,2025-11-13T04:44:22.093648
birth,REG-0811,Donald Ross,1954-12-05,Rebeccabury,O,Robert Thompson,Crystal Kelly,,2025-11-13T04:44:22.094539
birth,REG-0812,Thomas Tucker,2025-08-26,Lake Georgeview,F,Jeremiah Ferguson,Kelsey Nicholson,,2025-11-13T04:44:22.095695
birth,REG-0813,Andrew Gonzalez,2012-05-12,Lisaberg,O,Jordan Miller,Amanda Gibson,,2025-11-13T04:44:22.096514
birth,REG-0814,Jason Walker,2003-03-11,West Mary,O,Christopher Cruz,Jean Allen,,2025-11-13T04:44:22.097258
birth,REG-0815,Gloria Kennedy,1959-01-29,Simpsonport,M,Todd Murphy,Jacqueline Nguyen,,2025-11-13T04:44:22.098034
birth,REG-0816,Christopher Roberts,2012-11-24,North Johntown,F,Glenn Smith,Dawn Schmidt,,2025-11-13T04:44:22.098810
birth,REG-0817,Patricia Edwards MD,1995-07-14,Lake Patriciamouth,O,Mark Salinas,Cheryl Pratt,,2025-11-13T04:44:22.099562
birth,REG-0818,Angela Richardson,2014-12-11,South Melissa,F,Cory Johnson,Katie Harris,,2025-11-13T04:44:22.108411
death,REG-0819,Anthony Vaughn,,Rhondafurt,,,,Accident,2025-11-13T04:44:22.109272
birth,REG-0820,James Hawkins,1972-10-11,Lake John,O,Stephen Cameron,Amy Davis,,2025-11-13T04:44:22.109605
birth,REG-0821,Lori Morrison,2009-11-17,Garzahaven,M,Michael Holland,Kristine Castro MD,,2025-11-13T04:44:22.110393
death,REG-0822,Eric Lewis,,Calvinburgh,,,,Natural,2025-11-13T04:44:22.111322
birth,REG-0823,Hannah Davis,1998-03-20,Finleyborough,F,Robert Gordon,Brenda Bell,,2025-11-13T04:44:22.111708
birth,REG-0824,Lisa Edwards,1995-01-29,Port Lesliechester,F,Timothy Price,Rachael Frazier,,2025-11-13T04:44:22.112457
birth,REG-0825,Mary Sanchez,1998-11-11,Charlottemouth,O,Gary Riley,Whitney Meadows,,2025-11-13T04:44:22.113201
birth,REG-0826,Gregory Perez,1946-07-27,New Nicholasfort,F,Thomas Rodriguez,Amy Lopez,,2025-11-13T04:44:22.113896
death,REG-0827,Dawn Wilson,,New Jared,,,,Natural,2025-11-13T04:44:22.114615
death,REG-0828,Michael Moore,,Johnberg,,,,Disease,2025-11-13T04:44:22.114915
birth,REG-0829,Ryan Aguilar,1969-04-17,Port Staceyport,O,Jason Carroll,Michaela Torres,,2025-11-13T04:44:22.115247
birth,REG-0830,Janice Pearson,1981-07-01,Aaronborough,F,Andrew Wilson,Dawn Hill,,2025-11-13T04:44:22.116052
death,REG-0831,Justin Smith,,North Christophermouth,,,,Disease,2025-11-13T04:44:22.116807
death,REG-0832,Stephen Decker,,Robertburgh,,,,Disease,2025-11-13T04:44:22.117108
death,REG-0833,Brent Dunlap,,Smithfurt,,,,Disease,2025-11-13T04:44:22.117473
death,REG-0834,Cassandra Long,,West Robertview,,,,Unknown,2025-11-13T04:44:22.117789
birth,REG-0835,Ryan Hess,2025-05-31,Port Thomasfurt,M,Derek Pugh,Lauren Shannon,,2025-11-13T04:44:22.118083
birth,REG-0836,Danielle Barnett,1969-02-01,Laurenchester,M,Timothy Phelps,Kathy Wiley,,2025-11-13T04:44:22.118815
birth,REG-0837,Debra Martinez DDS,1983-03-16,Hicksmouth,F,Mr. Jorge Gomez MD,Laura Smith,,2025-11-13T04:44:22.119582
death,REG-0838,Casey Garcia,,Robinsonfurt,,,,Unknown,2025-11-13T04:44:22.120356
birth,REG-0839,Angela Jordan,1968-06-24,West Paul,O,Anthony Williams,Sherry Butler,,2025-11-13T04:44:22.120693
birth,REG-0840,Vanessa Fisher,1948-07-04,Stewartshire,O,Kyle Calhoun,Theresa Myers,,2025-11-13T04:44:22.121475
death,REG-0841,Daniel Wolfe,,Port Kim,,,,Natural,2025-11-13T04:44:22.122215
death,REG-0842,Johnny Evans,,Brookshaven,,,,Natural,2025-11-13T04:44:22.122555
death,REG-0843,Cindy Mcintyre,,Charlestown,,,,Unknown,2025-11-13T04:44:22.122887
death,REG-0844,Christopher Russo,,Dianabury,,,,Accident,2025-11-13T04:44:22.123189
death,REG-0845,Cathy Craig,,Donaldberg,,,,Unknown,2025-11-13T04:44:22.123489
birth,REG-0846,Andrew Duran,1976-11-07,Christineton,M,Peter Turner,Robin Duran,,2025-11-13T04:44:22.123811
birth,REG-0847,Richard Wells,1980-03-31,Vanessahaven,F,Juan Williams,Kimberly Collier,,2025-11-13T04:44:22.124535
death,REG-0848,Renee Carter,,North Jasmine,,,,Unknown,2025-11-13T04:44:22.125258
death,REG-0849,Hannah Thomas,,Samanthaton,,,,Unknown,2025-11-13T04:44:22.125560
birth,REG-0850,Jorge Alexander,1989-02-27,Elizabethtown,M,Wesley Arroyo,Christine Sullivan,,2025-11-13T04:44:22.125851
birth,REG-0851,Alex Ayala,2011-09-06,New Carolynmouth,F,Mitchell Gomez,Ashley Collier,,2025-11-13T04:44:22.126702
death,REG-0852,Mark Gomez,,Kyleville,,,,Accident,2025-11-13T04:44:22.127443
death,REG-0853,Natalie Flores,,New Christopher,,,,Natural,2025-11-13T04:44:22.127773
death,REG-0854,Andrew Martinez,,Lake Nancyland,,,,Disease,2025-11-13T04:44:22.128158
birth,REG-0855,Joanne Wilson,1948-08-15,Robertview,F,John Wong,Andrea Bowen,,2025-11-13T04:44:22.128592
birth,REG-0856,Kenneth Macdonald,1954-09-05,Port Johnton,O,Matthew Crane,Sierra Tucker,,2025-11-13T04:44:22.129431
birth,REG-0857,Thomas Anderson,1954-10-19,Lake Michael,O,Clayton Yates,Julie Nelson,,2025-11-13T04:44:22.130137
death,REG-0858,Patricia Chambers,,Millerland,,,,Natural,2025-11-13T04:44:22.130907
death,REG-0859,Shannon Rocha,,Cisneroston,,,,Disease,2025-11-13T04:44:22.131287
birth,REG-0860,Amy Smith,1979-07-27,Penatown,F,Daniel Garcia,Robin Marsh,,2025-11-13T04:44:22.131681
death,REG-0861,Jody Harris,,North Derek,,,,Accident,2025-11-13T04:44:22.132399
birth,REG-0862,Elizabeth Espinoza,1948-06-09,Craigland,M,Gary Wood,Alyssa Campbell,,2025-11-13T04:44:22.132846
death,REG-0863,Robert Schwartz,,East Lynnmouth,,,,Unknown,2025-11-13T04:44:22.133566
death,REG-0864,Anthony Garcia,,North Karenshire,,,,Unknown,2025-11-13T04:44:22.133907
birth,REG-0865,Stacey Alexander,2020-01-13,North Zacharyville,M,Randall Dickson,Kathryn Harris,,2025-11-13T04:44:22.134217
birth,REG-0866,Erica Macdonald,2021-07-22,South Daniel,O,Robert Wood,Debra Henry,,2025-11-13T04:44:22.134942
birth,REG-0867,Gabriel Hughes,2012-03-15,Lake Ronald,M,Frank Taylor,Samantha Holland,,2025-11-13T04:44:22.135662
birth,REG-0868,Randy Martin,1965-07-06,Campbellberg,F,Matthew Clark,Pamela Villanueva,,2025-11-13T04:44:22.136515
death,REG-0869,Todd Savage,,Shafferport,,,,Accident,2025-11-13T04:44:22.137307
birth,REG-0870,Joseph Carter,1993-11-29,Byrdfort,M,Alexander Mendoza,Charlene Lopez,,2025-11-13T04:44:22.137648
birth,REG-0871,Lisa Hall,1975-11-20,Williamshaven,F,Jason Mccarty,Brittany Love,,2025-11-13T04:44:22.138415
death,REG-0872,Daniel Robinson,,Crossshire,,,,Natural,2025-11-13T04:44:22.139174
death,REG-0873,Tracy Ward,,Jeremymouth,,,,Natural,2025-11-13T04:44:22.139518
death,REG-0874,Robert Palmer,,Kellyland,,,,Natural,2025-11-13T04:44:22.139869
death,REG-0875,Connor Hartman DDS,,Gomeztown,,,,Unknown,2025-11-13T04:44:22.140217
death,REG-0876,Denise Dixon,,North David,,,,Unknown,2025-11-13T04:44:22.140552
death,REG-0877,Jesse Mora,,Melissaborough,,,,Accident,2025-11-13T04:44:22.140882
birth,REG-0878,Anthony Lewis,1974-09-02,Dudleyshire,O,Bernard Ramirez,Lauren Taylor,,2025-11-13T04:44:22.141247
birth,REG-0879,Anthony Rodriguez,1999-10-08,Pricehaven,F,Dustin Brandt,Leslie Miller,,2025-11-13T04:44:22.144746
death,REG-0880,Frank Turner,,Sandersbury,,,,Natural,2025-11-13T04:44:22.145858
death,REG-0881,Cindy Harrison,,Bradtown,,,,Unknown,2025-11-13T04:44:22.146212
death,REG-0882,Steven Willis,,North Alan,,,,Unknown,2025-11-13T04:44:22.146673
death,REG-0883,Paula Peters,,North Kathryn,,,,Natural,2025-11-13T04:44:22.146989
death,REG-0884,Charlene Diaz,,East Brandon,,,,Accident,2025-11-13T04:44:22.147318
birth,REG-0885,Peggy Paul,1978-10-21,West Eric,O,Christopher Hernandez,Kathy Hopkins,,2025-11-13T04:44:22.147837
birth,REG-0886,Mr. Matthew Garcia PhD,1970-05-16,West Amanda,F,Jesus Hernandez,Tammy Henderson,,2025-11-13T04:44:22.148752
death,REG-0887,Richard Briggs,,South Javier,,,,Accident,2025-11-13T04:44:22.150145
death,REG-0888,Alicia Orozco,,Maryton,,,,Accident,2025-11-13T04:44:22.150510
birth,REG-0889,Todd Hampton,2016-12-19,Mcphersonberg,M,Derrick Schneider,Hannah Rodriguez,,2025-11-13T04:44:22.150941
death,REG-0890,Joshua Washington,,Port Jesus,,,,Accident,2025-11-13T04:44:22.151837
birth,REG-0891,Jason Carlson,2002-09-16,Hunterside,M,Daniel Coleman,Angela Ball,,2025-11-13T04:44:22.152189
death,REG-0892,Heidi James,,Reynoldston,,,,Accident,2025-11-13T04:44:22.152963
birth,REG-0893,Nicholas Wallace,1973-01-03,Cruzbury,F,Joseph Brown,Jennifer Mills,,2025-11-13T04:44:22.153299
birth,REG-0894,Christine Jackson,1985-12-10,South Derekside,M,Joshua Patterson,Ashley Hahn,,2025-11-13T04:44:22.154024
birth,REG-0895,Paula Griffin,1972-04-18,West Peterfort,F,Nicholas Rodriguez,Tracy Wright,,2025-11-13T04:44:22.154723
birth,REG-0896,Angela Hart,1960-06-17,Bradbury,M,Shane Garza,Christine Nguyen,,2025-11-13T04:44:22.155442
birth,REG-0897,Matthew Young,1946-08-17,Stephenview,O,James Williams,Sarah Scott,,2025-11-13T04:44:22.156183
birth,REG-0898,Gabriela Haley,1971-04-03,South Melissahaven,O,Scott Dougherty,Jennifer Mann,,2025-11-13T04:44:22.156881
birth,REG-0899,Samuel Armstrong,2023-02-13,South Reneeville,F,Jeff Cruz,Bonnie Brown,,2025-11-13T04:44:22.157593
birth,REG-0900,Kimberly Clarke,1964-08-29,Beckchester,M,Lawrence Griffith,Elizabeth Williams,,2025-11-13T04:44:22.158373
death,REG-0901,Joseph Morales,,North Daniel,,,,Accident,2025-11-13T04:44:22.159089
birth,REG-0902,Ronald Marshall,1969-02-01,Lake Kristine,F,Lucas Christensen,Cheryl Baker,,2025-11-13T04:44:22.159403
birth,REG-0903,Sharon Vargas,1982-08-08,North Elizabeth,O,Rodney Sanchez,Mackenzie Sullivan,,2025-11-13T04:44:22.160198
birth,REG-0904,Shannon Holmes,1954-10-29,South Dakota,M,Todd Carlson,Jessica Perez,,2025-11-13T04:44:22.160950
death,REG-0905,Elizabeth Carter,,Daltonbury,,,,Disease,2025-11-13T04:44:22.161771
death,REG-0906,William Lawson,,Rachelbury,,,,Disease,2025-11-13T04:44:22.162081
death,REG-0907,Zachary Harrell,,West Ethantown,,,,Accident,2025-11-13T04:44:22.162414
death,REG-0908,Victoria Silva,,New Adamside,,,,Disease,2025-11-13T04:44:22.162757
death,REG-0909,Jeremy Johnson,,Erikborough,,,,Natural,2025-11-13T04:44:22.163064
birth,REG-0910,William Jefferson,2023-04-03,Jodiberg,O,Shawn Lane,Patricia Gonzales,,2025-11-13T04:44:22.163375
birth,REG-0911,Diana Ware,1958-01-04,South Sheenaland,M,Victor Stephenson,Teresa Bradley,,2025-11-13T04:44:22.164223
death,REG-0912,Alexandria Bishop,,North Williamstad,,,,Disease,2025-11-13T04:44:22.165014
birth,REG-0913,Charles Robertson,2000-07-31,Crystalbury,M,Kenneth Howell,Ashley Jennings,,2025-11-13T04:44:22.165326
death,REG-0914,Jennifer Rios,,Crawfordfort,,,,Disease,2025-11-13T04:44:22.166150
death,REG-0915,Paul Simon,,East Jasontown,,,,Natural,2025-11-13T04:44:22.166465
death,REG-0916,Jordan Chase,,Paulburgh,,,,Unknown,2025-11-13T04:44:22.166806
birth,REG-0917,Kathryn Merritt,1955-02-09,East Candace,F,Nicholas Kennedy,Danielle Martin,,2025-11-13T04:44:22.167139
death,REG-0918,Eric Warren,,Johnsonburgh,,,,Accident,2025-11-13T04:44:22.167965
death,REG-0919,Todd Holland,,Annaborough,,,,Disease,2025-11-13T04:44:22.168305
birth,REG-0920,Julia Gutierrez,1991-02-13,New Rhondafurt,O,Jon Bush,Heather Bowman,,2025-11-13T04:44:22.168618
death,REG-0921,Walter Frazier,,Connieport,,,,Disease,2025-11-13T04:44:22.169399
birth,REG-0922,David Walker,1951-03-08,West Shawnborough,F,Benjamin Mayer,Cynthia Hill,,2025-11-13T04:44:22.169709
death,REG-0923,Terri Navarro,,Walterfurt,,,,Natural,2025-11-13T04:44:22.170552
death,REG-0924,Renee May,,West James,,,,Natural,2025-11-13T04:44:22.170864
death,REG-0925,Garrett Bryant,,Matthewside,,,,Unknown,2025-11-13T04:44:22.171204
death,REG-0926,Jordan Phillips,,East Coryberg,,,,Natural,2025-11-13T04:44:22.171577
death,REG-0927,Christopher Berry,,Hernandezton,,,,Natural,2025-11-13T04:44:22.171955
death,REG-0928,Dan Warren,,New Michaelmouth,,,,Disease,2025-11-13T04:44:22.172289
death,REG-0929,Timothy Burke,,Samanthashire,,,,Unknown,2025-11-13T04:44:22.172622
birth,REG-0930,Christopher Hughes,2003-03-02,Maureenborough,O,Jeremy Hays,Megan Myers,,2025-11-13T04:44:22.172929
death,REG-0931,Lisa Khan,,Lake Catherine,,,,Unknown,2025-11-13T04:44:22.173662
death,REG-0932,Edward Caldwell,,Heidiborough,,,,Accident,2025-11-13T04:44:22.173992
death,REG-0933,Tami Barr,,Cartermouth,,,,Disease,2025-11-13T04:44:22.174358
death,REG-0934,Joseph Foster Jr.,,South Catherinetown,,,,Accident,2025-11-13T04:44:22.174671
death,REG-0935,Jessica Zuniga,,Lake Jessica,,,,Accident,2025-11-13T04:44:22.175008
death,REG-0936,Tracy Gardner,,Port Tamara,,,,Accident,2025-11-13T04:44:22.175333
birth,REG-0937,Mr. Chad Barker,1983-03-30,Washingtonchester,O,Matthew Martinez,Anne Ross,,2025-11-13T04:44:22.175712
death,REG-0938,Victor Becker,,West Brendabury,,,,Natural,2025-11-13T04:44:22.176488
death,REG-0939,Christopher Daniels,,Lake Jesse,,,,Unknown,2025-11-13T04:44:22.176788
birth,REG-0940,Adam Deleon,1986-10-26,Colinmouth,M,Gregory Phillips,Elizabeth Bradshaw,,2025-11-13T04:44:22.177114
death,REG-0941,Joseph Clark,,Reyeston,,,,Disease,2025-11-13T04:44:22.177876
birth,REG-0942,Jamie Hayes,2017-01-14,Lake Johnbury,M,Christopher Wallace,Traci Schwartz,,2025-11-13T04:44:22.178217
birth,REG-0943,Tim Mcdonald,1946-03-20,Lake Joseph,M,Dwayne Bennett,Cynthia Ford,,2025-11-13T04:44:22.178967
birth,REG-0944,Susan Wilson,2021-04-19,West Yolanda,F,Billy Wilson,Dana Thomas,,2025-11-13T04:44:22.179749
birth,REG-0945,Maria Davis,1971-12-31,New Chadhaven,M,Charles Myers,Sara Perez,,2025-11-13T04:44:22.180494
birth,REG-0946,Maria Galloway,1977-09-21,Brianstad,O,Cody Martinez,Rebecca Lee,,2025-11-13T04:44:22.181190
birth,REG-0947,Shari Phillips,1988-05-13,Tylerside,O,Peter Stevens,Regina Harvey,,2025-11-13T04:44:22.181946
death,REG-0948,Bridget Gomez,,Lake Cathy,,,,Natural,2025-11-13T04:44:22.182683
death,REG-0949,Brandon Vasquez,,North Brendanport,,,,Natural,2025-11-13T04:44:22.182990
death,REG-0950,Dr. Nicole Warren,,Williamtown,,,,Natural,2025-11-13T04:44:22.183295
birth,REG-0951,Mark Reeves,1952-11-14,South Andresview,M,Nathan Glover,Shelly Lopez,,2025-11-13T04:44:22.183639
death,REG-0952,Megan Bryant,,Port Jenniferland,,,,Unknown,2025-11-13T04:44:22.184390
death,REG-0953,Xavier Padilla,,Lake Ryan,,,,Disease,2025-11-13T04:44:22.184724
birth,REG-0954,Lisa Anderson,1958-07-10,Paulmouth,O,Jonathan Mullins,Linda Ayala,,2025-11-13T04:44:22.185066
birth,REG-0955,Andrea Rodriguez,2018-09-23,Miguelton,O,Eric Rodriguez,Karen Hughes,,2025-11-13T04:44:22.185847
death,REG-0956,Anna Harris,,Ravenbury,,,,Accident,2025-11-13T04:44:22.186619
death,REG-0957,Michael Maddox,,Scottborough,,,,Unknown,2025-11-13T04:44:22.186959
birth,REG-0958,Jeffrey Barker,2002-07-23,Port Angelafurt,F,Zachary Watts,Jill Jarvis,,2025-11-13T04:44:22.187296
birth,REG-0959,Patty Collins,1969-12-27,Michaelland,F,Brett Kelly,Melinda Banks,,2025-11-13T04:44:22.188119
death,REG-0960,George Boyer,,Jessicastad,,,,Natural,2025-11-13T04:44:22.188937
death,REG-0961,Benjamin Huff,,Port Tylerton,,,,Accident,2025-11-13T04:44:22.189275
death,REG-0962,Lisa Smith,,Lake Conniemouth,,,,Natural,2025-11-13T04:44:22.189641
birth,REG-0963,Jason Wade Jr.,1961-01-10,North Amandafurt,M,Jimmy Harmon,Katie Stevenson,,2025-11-13T04:44:22.189960
death,REG-0964,Danielle Boyle,,North Michaelmouth,,,,Disease,2025-11-13T04:44:22.190745
birth,REG-0965,Carolyn Martin,1947-11-18,Port Lindsay,M,Robert Jacobs,Erica Lawrence,,2025-11-13T04:44:22.191056
death,REG-0966,David Mayer,,New Stephen,,,,Natural,2025-11-13T04:44:22.191865
birth,REG-0967,Nicholas Kramer,2016-10-20,Gordonstad,F,Duane Calhoun,Samantha Cherry,,2025-11-13T04:44:22.192215
